,Oil_store,주소,가격,셀프,상표,구
300,박석고개주유소,서울 은평구 통일로 945 (갈현동),1558.0,Y,SK에너지,은평구
301,은평뉴타운주유소,서울 은평구 통일로 924 (불광동),1558.0,Y,SK에너지,은평구
302,SK네트웍스(주)은평드림주유소, 서울특별시 은평구 통일로 1151 (진관동),1577.0,N,SK에너지,은평구
303,코끼리주유소,서울 은평구 서오릉로 41 (녹번동),1583.0,N,자가상표,은평구
304,삼융주유소,서울 은평구 수색로 299 (수색동),1798.0,N,SK에너지,은평구
305,(주)지에스이앤알 평창주유소,서울특별시 종로구 평창문화로 135 (평창동),1669.0,N,현대오일뱅크,종로구
306,구도일주유소특종,서울특별시 종로구 평창문화로 90 (평창동),1699.0,N,S-OIL,종로구
307,자하문주유소,서울 종로구 자하문로 248 (부암동),1890.0,N,SK에너지,종로구
308,SK북악주유소,서울 종로구 평창문화로 137 (평창동),1960.0,N,SK에너지,종로구
309,(주)마봉 안풍주유소,서울특별시 종로구  자하문로 303 (홍지동),1960.0,N,S-OIL,종로구
310,경복궁주유소,서울 종로구 율곡로 6 (중학동),1998.0,N,GS칼텍스,종로구
311,(주)대양씨앤씨,서울 종로구 사직로 65 (사직동),2096.0,N,GS칼텍스,종로구
312,(주)중앙에너비스혜화주유소,서울 종로구 창경궁로35길 1 (혜화동),2098.0,N,SK에너지,종로구
313,재동주유소,서울특별시 종로구  율곡로 58 (경운동),2106.0,N,SK에너지,종로구
314,세화주유소,서울특별시 중구  왕십리로 403 (신당동),1545.0,N,자가상표,중구
315,현대오일뱅크장원주유소,서울 중구 동호로 203 (신당동),1738.0,N,현대오일뱅크,중구
316,화성주유소,서울특별시 중구  다산로 233 (무학동),1738.0,N,S-OIL,중구
317,신당동주유소,서울 중구 다산로 242 (신당동),1898.0,N,SK에너지,중구
318,SC(주) 역전주유소,서울특별시 중구  퇴계로 15 (남대문로5가),1999.0,N,GS칼텍스,중구
319,초동주유소,서울시 중구 마른내로 31 (초동),1999.0,N,GS칼텍스,중구
320,약수주유소,서울 중구 다산로 173 (신당동),2087.0,N,GS칼텍스,중구
321,주)중앙에너비스 퇴계로지점,서울특별시 중구  퇴계로 228 (필동2가),2098.0,N,SK에너지,중구
322,필동주유소,서울특별시 중구  퇴계로 196 (필동2가),2099.0,N,GS칼텍스,중구
323,통일주유소,서울 중구 동호로 296 (장충동2가),2106.0,N,SK에너지,중구
324,장충주유소,서울 중구 장충단로 202 (장충동1가),2130.0,N,SK에너지,중구
325,서남주유소,서울 중구 통일로 30 (봉래동1가),2132.0,N,SK에너지,중구
326,신일셀프주유소,서울 중랑구 상봉로 58 (망우동),1499.0,Y,SK에너지,중랑구
327,구도일주유소 동천,서울특별시 중랑구  동일로 654 (면목동),1519.0,N,S-OIL,중랑구
328,오천만주유소,서울 중랑구 동일로 547 (면목동),1519.0,N,알뜰주유소,중랑구
329,대원주유소,서울 중랑구 동일로 600 (면목동),1520.0,Y,GS칼텍스,중랑구
330,(주)기지에너지,서울 중랑구 용마산로 716 (신내동),1520.0,N,S-OIL,중랑구
331,우림주유소,서울 중랑구 용마산로 487 (망우동),1520.0,N,GS칼텍스,중랑구
332,SK네트웍스(주)SELF상봉주유소,서울특별시 중랑구  망우로62길 8 (망우동),1527.0,Y,SK에너지,중랑구
333,중랑교,서울 중랑구 망우로 229 (중화동),1527.0,Y,SK에너지,중랑구
334,대양주유소,서울 중랑구 봉우재로 105 (상봉동),1527.0,N,GS칼텍스,중랑구
335,신내주유소,서울 중랑구 용마산로 705 (신내동),1528.0,Y,SK에너지,중랑구
336,범아주유소(주),서울 중랑구 동일로 881 (묵동),1529.0,N,S-OIL,중랑구
337,망우주유소(self),서울 중랑구 망우로 311 (상봉동),1537.0,Y,GS칼텍스,중랑구
338,현대오일뱅크(주)대창주유소,서울 중랑구 동일로 636 (면목동),1545.0,N,현대오일뱅크,중랑구
339,GS칼텍스직영소망주유소,서울특별시 중랑구  망우로 475 (망우동),1546.0,Y,GS칼텍스,중랑구
340,용마로주유소,서울특별시 중랑구  용마산로 309 (면목동),1549.0,Y,SK에너지,중랑구
341,면목주유소,서울 중랑구 동일로 627 (면목동),1569.0,N,S-OIL,중랑구
342,구도일주유소,서울 중랑구 망우로 170 (상봉동),1578.0,N,S-OIL,중랑구
343,유성주유소(self),서울 중랑구 망우로 436 (망우동),1598.0,Y,현대오일뱅크,중랑구
344,강서오곡셀프주유소,서울특별시 강서구 벌말로 254 (오곡동),1497.0,Y,SK에너지,강서구
345,대림에너지(주)덕양제6주유소,서울특별시 강서구  개화동로 422 (개화동),1507.0,Y,현대오일뱅크,강서구
346,뉴신정주유소,서울특별시 강서구 곰달래로39길 10 (화곡동),1513.0,N,알뜰주유소,강서구
347,목화주유소,서울특별시 강서구  국회대로 251 (화곡동),1516.0,Y,SK에너지,강서구
348,화곡역주유소,서울특별시 강서구  강서로 154 (화곡동),1516.0,N,알뜰주유소,강서구
349,경인고속주유소,서울특별시 강서구 국회대로 225 (화곡동),1516.0,Y,GS칼텍스,강서구
350,유턴주유소,서울특별시 강서구  남부순환로57길,1518.0,N,알뜰주유소,강서구
351,현대오일뱅크 등촌주유소,서울특별시 강서구 등촌로 189 (등촌동),1527.0,N,현대오일뱅크,강서구
352,개화주유소,서울특별시 강서구  양천로 57 (방화동),1527.0,Y,SK에너지,강서구
353,대성석유(주)방화대성주유소,서울특별시 강서구 양천로 176(마곡동),1528.0,Y,GS칼텍스,강서구
354,방화주유소,서울 강서구 방화동로 58-2 (방화동),1529.0,N,SK에너지,강서구
355,우장산주유소,서울특별시 강서구  강서로 292 (내발산동),1536.0,N,SK에너지,강서구
356,(주)발산주유소,서울 강서구 강서로 291 (내발산동),1536.0,N,현대오일뱅크,강서구
357,스카이주유소,서울 강서구 개화동로 457 (방화동),1538.0,N,S-OIL,강서구
358,대성석유(주) 마곡대성주유소,서울특별시 강서구 강서로 457(마곡동),1538.0,Y,GS칼텍스,강서구
359,㈜한진 김포공항주유소,서울특별시 강서구 하늘길 259(외발산동),1547.0,Y,S-OIL,강서구
360,해바라기,서울 강서구 화곡로 273 (화곡동),1549.0,Y,SK에너지,강서구
361,대성주유소,서울 강서구 강서로 472 (등촌동),1558.0,N,GS칼텍스,강서구
362,강서열린점,서울 강서구 등촌로 213 (등촌동),1558.0,N,GS칼텍스,강서구
363,현대오일뱅크(주)가양주유소,서울특별시 강서구  양천로 391 (가양동),1558.0,N,현대오일뱅크,강서구
364,KH에너지(주)직영 수명산주유소,서울특별시 강서구  남부순환로 195 (내발산동),1558.0,N,SK에너지,강서구
365,현대오일뱅크양화교주유소,서울 강서구 공항대로 653 (염창동),1563.0,N,현대오일뱅크,강서구
